Id,Label,Attribute
pain chest,pain chest,Symptom
shortness of breath,shortness of breath,Symptom
dizziness,dizziness,Symptom
asthenia,asthenia,Symptom
fall,fall,Symptom
syncope,syncope,Symptom
vertigo,vertigo,Symptom
sweat,sweat,Symptom
sweating increased,sweating increased,Symptom
palpitation,palpitation,Symptom
nausea,nausea,Symptom
angina pectoris,angina pectoris,Symptom
pressure chest,pressure chest,Symptom
hypertensive disease,hypertensive disease,Disease
polyuria,polyuria,Symptom
polydypsia,polydypsia,Symptom
orthopnea,orthopnea,Symptom
rale,rale,Symptom
unresponsiveness,unresponsiveness,Symptom
mental status changes,mental status changes,Symptom
vomiting,vomiting,Symptom
labored breathing,labored breathing,Symptom
diabetes,diabetes,Disease
feeling suicidal,feeling suicidal,Symptom
suicidal,suicidal,Symptom
hallucinations auditory,hallucinations auditory,Symptom
feeling hopeless,feeling hopeless,Symptom
weepiness,weepiness,Symptom
sleeplessness,sleeplessness,Symptom
motor retardation,motor retardation,Symptom
irritable mood,irritable mood,Symptom
blackout,blackout,Symptom
mood depressed,mood depressed,Symptom
hallucinations visual,hallucinations visual,Symptom
worry,worry,Symptom
agitation,agitation,Symptom
tremor,tremor,Symptom
intoxication,intoxication,Symptom
verbal auditory hallucinations,verbal auditory hallucinations,Symptom
energy increased,energy increased,Symptom
difficulty,difficulty,Symptom
nightmare,nightmare,Symptom
unable to concentrate,unable to concentrate,Symptom
homelessness,homelessness,Symptom
depression mental,depression mental,Disease
depressive disorder,depressive disorder,Disease
hypokinesia,hypokinesia,Symptom
dyspnea on exertion,dyspnea on exertion,Symptom
chest tightness,chest tightness,Symptom
coronary arteriosclerosis,coronary arteriosclerosis,Disease
coronary heart disease,coronary heart disease,Disease
cough,cough,Symptom
fever,fever,Symptom
decreased translucency,decreased translucency,Symptom
productive cough,productive cough,Symptom
pleuritic pain,pleuritic pain,Symptom
yellow sputum,yellow sputum,Symptom
breath sounds decreased,breath sounds decreased,Symptom
chill,chill,Symptom
rhonchus,rhonchus,Symptom
green sputum,green sputum,Symptom
non-productive cough,non-productive cough,Symptom
wheezing,wheezing,Symptom
haemoptysis,haemoptysis,Symptom
distress respiratory,distress respiratory,Symptom
tachypnea,tachypnea,Symptom
malaise,malaise,Symptom
night sweat,night sweat,Symptom
pneumonia,pneumonia,Disease
jugular venous distention,jugular venous distention,Symptom
dyspnea,dyspnea,Symptom
failure heart congestive,failure heart congestive,Disease
dysarthria,dysarthria,Symptom
speech slurred,speech slurred,Symptom
facial paresis,facial paresis,Symptom
hemiplegia,hemiplegia,Symptom
seizure,seizure,Symptom
numbness,numbness,Symptom
accidentcerebrovascular,accidentcerebrovascular,Disease
symptom aggravating factors,symptom aggravating factors,Symptom
asthma,asthma,Disease
st segment elevation,st segment elevation,Symptom
st segment depression,st segment depression,Symptom
t wave inverted,t wave inverted,Symptom
presence of q wave,presence of q wave,Symptom
chest discomfort,chest discomfort,Symptom
bradycardia,bradycardia,Symptom
myocardial infarction,myocardial infarction,Disease
pain,pain,Symptom
nonsmoker,nonsmoker,Symptom
hypercholesterolemia,hypercholesterolemia,Disease
erythema,erythema,Symptom
hepatosplenomegaly,hepatosplenomegaly,Symptom
pruritus,pruritus,Symptom
diarrhea,diarrhea,Symptom
abscess bacterial,abscess bacterial,Symptom
swelling,swelling,Symptom
apyrexial,apyrexial,Symptom
infection,infection,Disease
dysuria,dysuria,Symptom
hematuria,hematuria,Symptom
renal angle tenderness,renal angle tenderness,Symptom
lethargy,lethargy,Symptom
hyponatremia,hyponatremia,Symptom
hemodynamically stable,hemodynamically stable,Symptom
difficulty passing urine,difficulty passing urine,Symptom
consciousness clear,consciousness clear,Symptom
infection urinary tract,infection urinary tract,Disease
guaiac positive,guaiac positive,Symptom
monoclonal,monoclonal,Symptom
ecchymosis,ecchymosis,Symptom
tumor cell invasion,tumor cell invasion,Symptom
haemorrhage,haemorrhage,Symptom
pallor,pallor,Symptom
fatigue,fatigue,Symptom
heme positive,heme positive,Symptom
pain back,pain back,Symptom
orthostasis,orthostasis,Symptom
arthralgia,arthralgia,Symptom
transaminitis,transaminitis,Symptom
anemia,anemia,Disease
sputum purulent,sputum purulent,Symptom
hypoxemia,hypoxemia,Symptom
hypercapnia,hypercapnia,Symptom
patient non compliance,patient non compliance,Symptom
chronic obstructive airway disease,chronic obstructive airway disease,Disease
unconscious state,unconscious state,Symptom
bedridden,bedridden,Symptom
abdominal tenderness,abdominal tenderness,Symptom
unsteady gait,unsteady gait,Symptom
dementia,dementia,Disease
hyperkalemia,hyperkalemia,Symptom
urgency ofmicturition,urgency ofmicturition,Symptom
ascites,ascites,Symptom
hypotension,hypotension,Symptom
insufficiency renal,insufficiency renal,Disease
enuresis,enuresis,Symptom
asterixis,asterixis,Symptom
muscle twitch,muscle twitch,Symptom
sleepy,sleepy,Symptom
headache,headache,Symptom
lightheadedness,lightheadedness,Symptom
confusion,confusion,Disease
food intolerance,food intolerance,Symptom
numbness of hand,numbness of hand,Symptom
general discomfort,general discomfort,Symptom
drowsiness,drowsiness,Symptom
stiffness,stiffness,Symptom
degenerativepolyarthritis,degenerativepolyarthritis,Disease
prostatism,prostatism,Symptom
weight gain,weight gain,Symptom
tired,tired,Symptom
mass of body structure,mass of body structure,Symptom
hypothyroidism,hypothyroidism,Disease
has religious belief,has religious belief,Symptom
nervousness,nervousness,Symptom
formication,formication,Symptom
hot flush,hot flush,Symptom
anxiety state,anxiety state,Disease
lesion,lesion,Symptom
cushingoid facies,cushingoid facies,Symptom
